job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
HR Manager - Giza,Sun Lighting Company,https://wuzzuf.net/jobs/p/677b2879-d7ba-4049-8102-36d28fb1ca2e-HR-Manager---Giza-Sun-Lighting-Company-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2081,"Full Time · Manager · 8+ Yrs of Exp · Human Resources (HR) · Labor Law · Management · Recruitment · Personnel · Microsoft Office · English · Human Resources · Business · HR Systems · Labor - November 8, 2020","6th Of October, Giza",Manager,Full Time,Software Engneering 
Sales Team Leader - Real Estate Brokerage,Kimit Real Estate,https://wuzzuf.net/jobs/p/6a09c31d-1c9f-4895-8b3c-d50c9720edcc-Sales-Team-Leader---Real-Estate-Brokerage-Kimit-Real-Estate-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2095,"Full Time · Manager · 3-5 Yrs of Exp · Males Only · Sales · Sales Skills · Real Estate · Sales Target · Brokerage · Sales/Retail - October 13, 2020","New Cairo, Cairo",Manager,Full Time,Software Engneering 
Product Manager,Hidden Name,https://wuzzuf.net/jobs/p/639464d4-58c8-47b7-9a0f-53b8f1f0266c-Product-Manager-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2096,"Full Time · Manager · 2-5 Yrs of Exp · Communication Skills · Product Management · UI · Agile · Design · UX · Content Management · Project/Program Management · Strategy/Consulting - October 4, 2020","Abu Qir, Alexandria",Manager,Full Time,Software Engneering 
Project Manager,Source Technology,https://wuzzuf.net/jobs/p/9e8f8176-003c-4115-bc45-3f7b420d2ab5-Project-Manager-Source-Technology-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2088,"Full Time · Volunteering · Manager · 5+ Yrs of Exp · Project Management · Management · Engineering · Information Technology (IT) · Risk Management · C# · Cost · MVC · Cost Management · C#.Net - November 12, 2020","Heliopolis, Cairo",Manager,Full Time,Software Engneering 
Chief Operation Officer,The First Microfinance,https://wuzzuf.net/jobs/p/5e45f0f1-7c6a-47e1-8d5c-9f757251ebbf-Chief-Operation-Officer-The-First-Microfinance-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2106,Full Time · Senior Management · 8+ Yrs of Exp · Operations · Management · Microfinance · Finance · Administration · English · Financial Performance · Administration · Operations/Management - New,"Maadi, Cairo",Manager,Full Time,Software Engneering 
"Risk,Compliance & Governance Manager",The First Microfinance,https://wuzzuf.net/jobs/p/5063361f-f3a4-42a9-b3b4-fd664541d893-RiskCompliance---Governance-Manager-The-First-Microfinance-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2112,"Full Time · Senior Management · 7+ Yrs of Exp · Risk Management · Compliance · Legal · Administration · Administration · Legal · Operations/Management - October 28, 2020","Maadi, Cairo",Manager,Full Time,Software Engneering 
Marketing Manager,SYE English Community,https://wuzzuf.net/jobs/p/1b1e7200-51f3-40d4-90a5-437e1b9cd76b-Marketing-Manager-SYE-English-Community-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2115,"Full Time · Manager · 5-10 Yrs of Exp · Marketing · E-marketing · Market Research · Social Media · Online Marketing · Marketing Management · Marketing Plan · Event Management · Education · FMCG - November 2, 2020","Dokki, Giza",Manager,Full Time,Software Engneering 
Strategic Programs Team Manager,WUZZUF,https://wuzzuf.net/jobs/p/a3db6022-d084-4658-8543-a2cb6595fde9-Strategic-Programs-Team-Manager-WUZZUF-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2139,"Full Time · Manager · 7-15 Yrs of Exp · PMP · Project Management · Strategic Planning · Reporting · Analysis · Communication · Programs Manager · Programs Management · development sector - November 10, 2020","Maadi, Cairo",Manager,Full Time,Software Engneering 
Senior Products Delivery Manager,Fawry Banking & Payment Technology Services,https://wuzzuf.net/jobs/p/90bf921a-4a91-4da9-9e73-4fee79691273-Senior-Products-Delivery-Manager-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2127,"Full Time · Manager · 13-16 Yrs of Exp · Project Management · Information Technology (IT) · Leadership · Project · Technical · MBA · Computer Science · MSC · IT/Software Development - October 15, 2020","Smart Village, Giza",Manager,Full Time,Software Engneering 
Chief Financial Officer,Hidden Name,https://wuzzuf.net/jobs/p/8baa5144-9c67-4683-b780-6c2aa516a2a9-Chief-Financial-Officer-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2128,"Full Time · Senior Management · 10+ Yrs of Exp · Financial Management · Finance · Financial Analysis · Accounting · CPA · Payroll · General Ledger · Accounting Software · ACA · ACAA · CIMA - October 8, 2020","Sheraton, Cairo",Manager,Full Time,Software Engneering 
Human Resource Manager,Pyramid Glass Company,https://wuzzuf.net/jobs/p/e576afef-0038-49ba-a1d8-a51503743867-Human-Resource-Manager-Pyramid-Glass-Company-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2131,"Full Time · Manager · 10+ Yrs of Exp · Human Resources (HR) · Human Resources Management · Human Resources · Recruitment · Personnel · Management · HIS · Analytical · Resources Management - October 27, 2020","Bourj Alarab, Alexandria",Manager,Full Time,Software Engneering 
Sales Team Leader,Assaf Group,https://wuzzuf.net/jobs/p/40665673-3d5c-4e11-9f95-1dec48b5a05e-Sales-Team-Leader-Assaf-Group-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2134,"Full Time · Manager · 5-7 Yrs of Exp · Marekting · Sales · Sales Skills · Sales Target · Media · Adobe Photoshop · Adobe Indesign · English · Real Estate · Business Administration · Marketing - October 11, 2020","Cairo, Egypt",Manager,Full Time,Software Engneering 
Customer Experience Manager,Nana,https://wuzzuf.net/jobs/p/25c2a7cd-6894-4a1b-bce1-962b60e35474-Customer-Experience-Manager-Nana-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2135,"Full Time · Manager · 8+ Yrs of Exp · Customer Support · Customer Service · Operations · Customer Care · Leadership · Communication Skills · Management · Customer Service/Support - November 9, 2020","Sheraton, Cairo",Manager,Full Time,Software Engneering 
Purchasing Manager,Groupe- Atlantic,https://wuzzuf.net/jobs/p/7ef77d24-f1ae-4c8e-94ff-8b55bf833736-Purchasing-Manager-Groupe--Atlantic-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2124,"Full Time · Manager · 8-10 Yrs of Exp · Purchasing · Procurement · Supply Chain · Industrial · Logistics · Business Administration · Manufacturing · Management · Manufacturing/Production - November 2, 2020","10th Of Ramadan City, Cairo",Manager,Full Time,Software Engneering 
Sales Area Manager,Elshaheen Center,https://wuzzuf.net/jobs/p/a6b12e42-96d5-4278-abc5-c3afc04859ed-Sales-Area-Manager-Elshaheen-Center-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2148,"Full Time · Manager · 5+ Yrs of Exp · Retail · FMCG · Management · Leadership · Sales Target · Sales Skills · Sales · Sales Management · Operations/Management · Sales/Retail - September 28, 2020","Siouf, Alexandria",Manager,Full Time,Software Engneering 
Accounts Payables Manager,Hidden Name,https://wuzzuf.net/jobs/p/87d53f70-14af-4658-9457-38dbbcbfb79a-Accounts-Payables-Manager-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2147,"Full Time · Manager · 10+ Yrs of Exp · Accounting · Finance · AP · SAP · Financial Management · Financial Analysis · ERP · Business Administration · Communication Skills · Accounting Principles - November 16, 2020","Cairo, Egypt",Manager,Full Time,Software Engneering 
Area Manager,Hidden Name,https://wuzzuf.net/jobs/p/49eb852b-40ff-4297-9069-79a7de617715-Area-Manager-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2150,"Full Time · Manager · 5-7 Yrs of Exp · Males Only · Management · FMCG · Sales Target · Sales · Retail · Area Management · Operations · Operations/Management · Sales/Retail - September 28, 2020","Cairo, Egypt",Manager,Full Time,Software Engneering 
Business Continuity Supervisor,Xceed,https://wuzzuf.net/jobs/p/7f782228-c5ad-4ce3-bf1a-bc80fc573851-Business-Continuity-Supervisor-Xceed-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2153,"Full Time · Manager · 4+ Yrs of Exp · Business Administration · Business Continuity Management · Arabic · English · BCI · ISO · COSO · ITIL · COBIT · CSA · Risk Management · Business Development - November 12, 2020","Maadi, Cairo",Manager,Full Time,Software Engneering 
Warehouse Manager - Multinational - Alexandria,Pillars,https://wuzzuf.net/jobs/p/811555ba-5d2d-4502-be74-5f7c35d76a33-Warehouse-Manager---Multinational---Alexandria-Pillars-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2158,"Full Time · Manager · 8-10 Yrs of Exp · Warehouse · Warehousing · Logistics · Supply Chain · Supply · Management · Warehouse Management · Food Industry · Logistics/Supply Chain - October 28, 2020","Alexandria, Egypt",Manager,Full Time,Software Engneering 
Project Manager - Cairo,KnowledgeNet,https://wuzzuf.net/jobs/p/b9fcca7e-a090-4e5d-a4a3-c8671ffd0e62-Project-Manager---Cairo-KnowledgeNet-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2159,"Full Time · Manager · 5+ Yrs of Exp · Implementation · Project Management · Information Technology (IT) · Computer Science · Management · English · IT/Software Development - October 7, 2020","Nasr City, Cairo",Manager,Full Time,Software Engneering 
Purchasing Manager,Hidden Name,https://wuzzuf.net/jobs/p/352dec12-c864-42be-ad8c-01b0696487c6-Purchasing-Manager-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2160,"Full Time · Manager · 10-15 Yrs of Exp · Purchasing · Procurement · Logistics · Supply Chain · Management · Purchasing/Procurement - November 19, 2020","Badr City, Cairo",Manager,Full Time,Software Engneering 
Strategic Programs Team Manager,WUZZUF,https://wuzzuf.net/jobs/p/a3db6022-d084-4658-8543-a2cb6595fde9-Strategic-Programs-Team-Manager-WUZZUF-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2141,"Full Time · Manager · 7-15 Yrs of Exp · PMP · Project Management · Strategic Planning · Reporting · Analysis · Communication · Programs Manager · Programs Management · development sector - November 10, 2020","Maadi, Cairo",Manager,Full Time,Software Engneering 
Sales Supervisor - Canal,PepsiCo International,https://wuzzuf.net/jobs/p/3c7f837a-01f5-4b26-88bb-9df851bf37bc-Sales-Supervisor---Canal-PepsiCo-International-Suez-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2180,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020","Suez, Egypt",Manager,Full Time,Software Engneering 
Sales Supervisor - East Delta,PepsiCo International,https://wuzzuf.net/jobs/p/2e6ca952-db81-478a-b073-be9198a8ed64-Sales-Supervisor---East-Delta-PepsiCo-International-Sharqia-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2179,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020","Sharqia, Egypt",Manager,Full Time,Software Engneering 
Sales Supervisor - Giza,PepsiCo International,https://wuzzuf.net/jobs/p/ee63563e-ea3a-4d05-8025-f0cab978e358-Sales-Supervisor---Giza-PepsiCo-International-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=2178,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales/Retail - October 28, 2020","Giza, Egypt",Manager,Full Time,Software Engneering 
