job_title,company,job_profile,description,location,Level,Type,StandardJobTitle
Backend Engineer - Infrastructure,Dapi,https://wuzzuf.net/jobs/p/795abea5-dbe2-4628-88af-a8d4a73f4760-Backend-Engineer---Infrastructure-Dapi-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1384,"Full Time · Experienced · 2+ Yrs of Exp · Backend · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · SQL · Software · Agile · Java - November 1, 2020","New Cairo, Cairo",Experienced,Full Time,Software Engneering 
Senior Devops Engineer,Profolio Consulting,https://wuzzuf.net/jobs/p/6e6e3984-d3b9-4ee5-ae35-40642a439c1d-Senior-Devops-Engineer-Profolio-Consulting-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1381,"Full Time · Experienced · 2-3 Yrs of Exp · Computer · Computer Science · Information Technology (IT) · DevOps · Software Engineering · Engineering · Software · Development · Cloud · Cloud Systems - October 14, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
Web Designer,Electronic House,https://wuzzuf.net/jobs/p/d2767678-55cd-4f0c-bb75-57d34efa4cf1-Web-Designer-Electronic-House-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1391,"· Experienced · 2-4 Yrs of Exp · Information Technology (IT) · Computer Science · Web Development · Software Development · CSS · HTML · .NET · Java · XML · Software · Programming · Web Design - November 1, 2020","Downtown, Cairo",Experienced,Full Time,Software Engneering 
Senior Back-End Engineer,Radivision,https://wuzzuf.net/jobs/p/ddd80f17-79ca-4dfe-8b4a-45a68f4417d8-Senior-Back-End-Engineer-Radivision-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1397,"Full Time · Experienced · 3-6 Yrs of Exp · Startup · Information Technology (IT) · Software Engineering · Git · javaScript · Software Development · Computer Science · Backend · Programming · AWS - November 22, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior Solution Architect,Agile Technologies,https://wuzzuf.net/jobs/p/2b9e1ada-a8e2-4638-918e-a616763a099b-Senior-Solution-Architect-Agile-Technologies-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1399,"Full Time · Experienced · 10+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Troubleshooting · Agile · IT · Software · Software Solutions - October 21, 2020","Maadi, Cairo",Experienced,Full Time,Software Engneering 
Senior QC Engineer,Pharous LLC,https://wuzzuf.net/jobs/p/ab539676-f2c7-4a5e-9e8b-f15c052e4634-Senior-QC-Engineer-Pharous-LLC-Alexandria-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=1387,"Full Time · Experienced · 3-5 Yrs of Exp · Software Development · QA · Information Technology (IT) · Computer Science · Quality Control · QC · Quality Assurance · Testing · Selenium · Science - October 20, 2020","Alexandria, Egypt",Experienced,Full Time,Software Engneering 
Senior IT Helpdesk Specialist – Apple Mac (Giza),Nahdet Misr Publishing Group,https://wuzzuf.net/jobs/p/8c044a1a-bf45-44d1-ae3a-8ca41d30a4f6-Senior-IT-Helpdesk-Specialist-%E2%80%93-Apple-Mac-Giza-Nahdet-Misr-Publishing-Group-Giza-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=158,"Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Computer Maintenance · Computer Engineering · Mac OS · Windows · CCNA · Desk Software · Installation · Maintenance - October 19, 2020","Mohandessin, Giza",Experienced,Full Time,IT Category
Software Business Analyst,JRM for Communications,https://wuzzuf.net/jobs/p/9b5bef41-9611-4e33-9de3-e48f6a20d4c7-Software-Business-Analyst-JRM-for-Communications-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=160,Full Time · Experienced · 5-7 Yrs of Exp · Information Technology (IT) · Business Analysis · Computer Science · Software · Analysis · Agile · Business · Analytical · IT/Software Development - New,"Nasr City, Cairo",Experienced,Full Time,Software Engneering 
IT Help Desk - (First Line Support),Hidden Name,https://wuzzuf.net/jobs/p/21c8a71f-287a-4785-a298-a1cc4de5720b-IT-Help-Desk---First-Line-Support-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=159,"Full Time · Experienced · 2-4 Yrs of Exp · Computer Science · Troubleshooting · Microsoft Office · WAN · CompTIA A+ · Repair · Microsoft · MCSE · Information Technology (IT) · Technical Support - November 5, 2020","Obour City, Cairo",Experienced,Full Time,IT Category
IT Help Desk Agent,New Plan,https://wuzzuf.net/jobs/p/8c781b60-e2b9-4527-8e2e-c7dd3f03853e-IT-Help-Desk-Agent-New-Plan-Cairo-Egypt?l=bp&t=bj&a=IT-Software-Development-Jobs-in-Egypt&o=155,"Full Time · Experienced · 2-4 Yrs of Exp · Males Only · Information Technology (IT) · Installation · Information System · Help Desk · English · Computer Science · IT · Software · Maintenance - October 20, 2020","New Cairo, Cairo",Experienced,Full Time,IT Category
